Point ID,Point Name,Latitude,Longitude,Address / Area,Google Maps Link,Point Type,Population Heat,Weekday Flow per Hour,Weekend Flow per Hour,Main Customers,Recommended Placement,Score,Grade,Decision,Notes
JKT-001,Grand Indonesia Mall,-6.19510,106.82060,"Jl. M.H. Thamrin, Central Jakarta","https://www.google.com/maps/search/?api=1&query=-6.19510,106.82060",商场,高,650,900,"白领;情侣;家庭;游客","主入口/影院层/餐饮等候区",92,A,优先,"CBD + 高消费 + 高停留时长，适合旗舰样板点"
JKT-002,Kota Kasablanka,-6.22410,106.84270,"Jl. Casablanca Raya, South Jakarta","https://www.google.com/maps/search/?api=1&query=-6.22410,106.84270",商场,高,580,850,"白领;情侣;家庭","餐饮层/电梯口/活动中庭",89,A,优先,"周末家庭和情侣流量强，适合测试高峰排队动线"
JKT-003,Central Park Mall,-6.17740,106.79060,"Podomoro City, West Jakarta","https://www.google.com/maps/search/?api=1&query=-6.17740,106.79060",商场,高,620,920,"学生;情侣;家庭;游客","Neo Soho 连通口/餐饮区/中庭",91,A,优先,"年轻客群密集，社交拍照需求强"
JKT-004,Blok M MRT / Mall Area,-6.24470,106.79900,"Blok M, South Jakarta","https://www.google.com/maps/search/?api=1&query=-6.24470,106.79900",交通+商圈,高,520,760,"学生;白领;情侣","MRT 出入口附近/商场入口/咖啡店外侧",86,A,优先,"通勤与夜间消费叠加，适合长营业时段"
JKT-005,Sarinah Thamrin,-6.18730,106.82310,"Jl. M.H. Thamrin, Central Jakarta","https://www.google.com/maps/search/?api=1&query=-6.18730,106.82310",商场+游客点,高,480,780,"游客;白领;情侣","主门口/纪念品区/咖啡区",84,A,优先,"游客和本地年轻人混合，适合品牌曝光"
JKT-006,Plaza Senayan,-6.22560,106.79930,"Senayan, South Jakarta","https://www.google.com/maps/search/?api=1&query=-6.22560,106.79930",商场,中,380,620,"白领;情侣;家庭","影院层/餐饮区/连廊",78,B,可测试,"消费力高但点位租金可能较高，建议谈分成"
JKT-007,PIK Avenue,-6.10870,106.74050,"Pantai Indah Kapuk, North Jakarta","https://www.google.com/maps/search/?api=1&query=-6.10870,106.74050",商场+休闲区,中,360,700,"情侣;家庭;游客","餐饮入口/停车场连通口/活动区",80,B,可测试,"周末强，工作日需观察晚间流量"
JKT-008,BINUS Anggrek Campus Area,-6.20040,106.78510,"Kemanggisan, West Jakarta","https://www.google.com/maps/search/?api=1&query=-6.20040,106.78510",学校,中,430,260,"学生","校门外合作店/奶茶店/等餐区",76,B,可测试,"学生客群匹配强，但需避开假期"
JKT-009,Kota Tua / Fatahillah Square,-6.13520,106.81330,"Kota Tua, West Jakarta","https://www.google.com/maps/search/?api=1&query=-6.13520,106.81330",景区,中,300,820,"游客;情侣;家庭","广场周边咖啡店/纪念品店入口",82,B,可测试,"周末和节假日爆发强，需确认户外供电和安全"
JKT-010,Plaza Festival Kuningan,-6.22100,106.83240,"Kuningan, South Jakarta","https://www.google.com/maps/search/?api=1&query=-6.22100,106.83240",咖啡餐饮商区,中,340,520,"白领;学生;情侣","餐饮街入口/咖啡店收银台旁",72,B,可测试,"适合小成本测试，需实测晚间人流"
JKT-011,Monas / National Monument,-6.17540,106.82720,"Gambir, Central Jakarta","https://www.google.com/maps/search/?api=1&query=-6.17540,106.82720",户外景区,高,420,980,"游客;家庭;情侣;学生","广场入口/游客排队区/纪念品摊位旁",88,A,优先,"雅加达标志性景点，户外曝光强；需重点确认供电、防雨和安保"
JKT-012,Kota Tua Street Photo Area,-6.13400,106.81270,"Around Fatahillah Square, West Jakarta","https://www.google.com/maps/search/?api=1&query=-6.13400,106.81270",户外打卡点,高,360,920,"游客;情侣;家庭;学生","广场拍照点/自行车租赁区/咖啡店外侧",87,A,优先,"拍照场景天然强，适合与周边咖啡店或纪念品店合作"
JKT-013,Pantjoran PIK / Chinatown PIK,-6.10290,106.74010,"Pantai Indah Kapuk, North Jakarta","https://www.google.com/maps/search/?api=1&query=-6.10290,106.74010",小吃街+打卡点,高,420,980,"情侣;家庭;游客;年轻人","牌坊入口/小吃摊集中区/夜景打卡点",90,A,优先,"户外餐饮和拍照属性都强，周末夜间非常适合测试"
JKT-014,Cove at Batavia PIK,-6.09090,106.74050,"Golf Island PIK, North Jakarta","https://www.google.com/maps/search/?api=1&query=-6.09090,106.74050",海边打卡点,中,300,760,"情侣;家庭;游客;年轻人","海边步道/餐饮外摆区/日落拍照点",83,B,可测试,"海边照片需求强，但需确认户外设备防潮、防风和夜间管理"
JKT-015,Jalan Sabang Food Street,-6.18780,106.82570,"Jl. H. Agus Salim / Sabang, Central Jakarta","https://www.google.com/maps/search/?api=1&query=-6.18780,106.82570",小吃街,高,500,720,"白领;游客;年轻人;情侣","小吃摊入口/餐后停留点/咖啡店外侧",85,A,优先,"靠近 Thamrin 办公区，晚餐和夜宵流量稳定，适合夜间运营"
JKT-016,M Bloc Space,-6.24330,106.79840,"Melawai, South Jakarta","https://www.google.com/maps/search/?api=1&query=-6.24330,106.79840",创意街区,中,340,700,"年轻人;情侣;学生;白领","主入口/活动区/咖啡店与展览入口",84,A,优先,"年轻潮流客群集中，适合品牌传播和社交分享"
JKT-017,Kemang Food & Lifestyle Street,-6.26080,106.81460,"Kemang Raya, South Jakarta","https://www.google.com/maps/search/?api=1&query=-6.26080,106.81460",夜生活商圈,中,360,680,"年轻人;情侣;白领;外籍客群","餐饮酒吧街入口/咖啡店外摆/夜间聚集点",79,B,可测试,"夜间消费强，需观察雨天、停车和安全管理"
JKT-018,Tebet Eco Park,-6.23750,106.85220,"Tebet, South Jakarta","https://www.google.com/maps/search/?api=1&query=-6.23750,106.85220",公园打卡点,中,280,720,"家庭;情侣;学生;社区居民","公园入口/桥景拍照点/周边咖啡摊",77,B,可测试,"周末家庭和情侣客群明显，户外供电与许可是关键"
JKT-019,Gelora Bung Karno / Senayan Gate,-6.21860,106.80250,"GBK Senayan, Central Jakarta","https://www.google.com/maps/search/?api=1&query=-6.21860,106.80250",活动场馆+户外商圈,高,420,880,"运动人群;家庭;情侣;活动观众","主入口/活动出口/周边餐饮摊位",86,A,优先,"赛事和演唱会期间爆发强，适合活动型快闪投放"
JKT-020,Glodok Chinatown / Petak Enam,-6.14470,106.81290,"Glodok, West Jakarta","https://www.google.com/maps/search/?api=1&query=-6.14470,106.81290",小吃街+历史街区,中,330,680,"游客;家庭;年轻人;美食客","Petak Enam 入口/小吃摊集中区/街区打卡墙",81,B,可测试,"美食和历史街区属性强，适合周末测试与商户联营"
